player_yaw,player_pitch,target_dist,ideal_yaw,ideal_pitch,yaw_error,pitch_error,on_ground,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
-15.52,6.17,4.671,-14.91,-8.17,0.61,-14.34,1,0,0,0,1,0,0,0
-16.45,5.35,4.875,-16.28,-10.2,0.17,-15.55,1,1,0,0,1,0,1,0
-18.61,3.29,4.966,-18.0,-12.48,0.61,-15.77,1,1,0,0,1,0,0,0
-19.94,1.23,4.975,-19.99,-14.64,-0.05,-15.88,1,1,0,0,1,0,1,0
-22.31,-0.21,4.977,-22.08,-16.86,0.22,-16.65,1,1,0,0,1,0,0,0
-23.44,-0.72,4.978,-24.22,-19.12,-0.78,-18.4,1,1,0,0,1,0,1,0
-24.88,-3.29,4.786,-26.95,-19.13,-2.07,-15.84,1,1,0,0,1,0,0,0
-28.06,-6.27,4.575,-29.86,-18.49,-1.8,-12.22,1,1,0,0,1,0,1,0
-31.56,-11.82,4.345,-32.94,-17.06,-1.38,-5.23,1,1,0,0,1,0,0,0
-36.39,-15.83,4.1,-36.19,-14.81,0.21,1.03,1,1,0,0,1,0,1,0
-38.65,-19.23,3.859,-39.56,-12.29,-0.91,6.94,1,1,0,0,1,0,1,0
-42.77,-18.2,3.575,-43.7,-12.08,-0.93,6.11,1,1,0,0,1,0,0,0
-49.76,-13.06,3.274,-48.58,-12.37,1.18,0.68,1,1,0,0,1,0,1,0
-53.77,-9.15,3.043,-54.24,-12.74,-0.47,-3.59,1,0,0,0,1,0,0,0
-57.37,-6.17,3.151,-54.77,-5.63,2.59,0.54,0,0,0,0,1,0,1,1
-58.7,-7.2,3.115,-55.99,-0.97,2.72,6.23,0,1,0,0,1,0,0,0
-61.79,-7.81,2.972,-57.54,2.74,4.25,10.55,0,1,0,0,1,0,1,0
-63.74,-9.77,2.845,-58.47,5.87,5.27,15.64,0,1,1,0,0,0,0,0
-60.45,-10.79,3.014,-58.22,4.42,2.23,15.21,0,1,1,0,0,0,1,0
-54.49,-10.18,3.305,-56.34,0.68,-1.85,10.85,0,0,1,0,0,0,0,0
-53.25,-5.65,3.591,-53.24,-3.85,0.01,1.8,0,1,1,0,0,0,0,0
-53.05,-4.21,3.843,-50.15,-8.76,2.9,-4.55,0,1,1,0,0,0,0,0
-52.43,-4.42,4.055,-47.68,-13.52,4.75,-9.1,1,1,1,0,0,0,0,0
-48.01,-8.22,4.116,-43.95,-14.28,4.06,-6.05,1,1,1,0,0,0,1,0
