tick,player_x,player_y,player_z,player_yaw,player_pitch,on_ground,my_vx,my_vz,my_hurt,target_x,target_y,target_z,target_dist,tgt_vx,tgt_vz,tgt_hurt,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
249,490128.02009491884,73.0,5132.996835017203,125.613,6.169,1,-0.0655,-0.084,0,490125.9895184968,73.85185185185185,5131.342163903331,2.754,-0.177,-0.2797,4,0,0,0,0,0,0,0
250,490127.8807437606,73.0,5132.876832880664,124.379,2.159,1,-0.1394,-0.12,0,490125.8575956645,73.83873456790123,5131.123942602221,2.805,-0.1319,-0.2182,3,1,0,0,0,0,1,0
251,490127.699494922,73.0,5132.739398717482,128.183,0.103,1,-0.1812,-0.1374,0,490125.7256728322,73.8256172839506,5130.905721301111,2.818,-0.1319,-0.2182,2,1,0,0,0,0,0,0
252,490127.5003386649,73.0,5132.585671399226,132.296,1.851,1,-0.1992,-0.1537,0,490125.64003188815,73.65457818930041,5130.739230867407,2.702,-0.0856,-0.1665,1,1,0,0,0,0,1,0
253,490127.29733353225,73.0,5132.416034979466,138.567,2.056,1,-0.203,-0.1696,0,490125.5543909441,73.48353909465021,5130.572740433703,2.583,-0.0856,-0.1665,10,1,0,0,0,0,0,0
254,490127.20316262334,73.0,5132.358762358594,145.353,3.084,1,-0.0942,-0.0573,0,490125.36959396274,73.43694272976681,5130.350576955802,2.754,-0.1848,-0.2222,9,1,1,0,0,0,1,0
255,490127.0238334652,73.0,5132.30428472237,147.512,2.673,1,-0.1793,-0.0545,0,490125.1847969814,73.39034636488341,5130.128413477902,2.876,-0.1848,-0.2222,8,1,1,0,0,0,0,0
256,490126.8381571798,73.0,5132.2583439684895,151.522,0.308,1,-0.1857,-0.0459,0,490124.98778132093,73.53106424325561,5129.929358985268,3.022,-0.197,-0.1991,7,1,1,0,0,0,0,0
257,490126.6120899167,73.0,5132.196478567063,154.606,-2.365,1,-0.2261,-0.0619,0,490124.79076566047,73.67178212162781,5129.730304492634,3.139,-0.197,-0.1991,6,1,1,0,0,0,1,0
258,490126.36618943536,73.0,5132.1190921931575,152.447,-2.159,1,-0.2459,-0.0774,0,490124.620927107,73.77077141441855,5129.580619661756,3.176,-0.1698,-0.1497,5,1,1,0,0,0,0,0
259,490126.161582802,73.0,5132.054860043564,151.727,-2.262,1,-0.2046,-0.0642,0,490124.4510885535,73.86976070720928,5129.430934830878,3.251,-0.1698,-0.1497,4,1,1,0,0,0,1,0
260,490125.9253501637,73.0,5131.982434123609,153.681,-3.084,1,-0.2362,-0.0724,0,490124.3319757024,73.85067380480619,5129.328956553919,3.21,-0.1191,-0.102,3,1,1,0,0,0,0,0
261,490125.67318103166,73.0,5131.901354312153,156.662,-4.215,1,-0.2522,-0.0811,0,490124.2128628512,73.8315869024031,5129.22697827696,3.159,-0.1191,-0.102,2,1,1,0,0,0,0,0
262,490125.46971711697,73.0,5131.826891878656,157.485,-4.01,1,-0.2035,-0.0745,0,490124.14190856746,73.6585579349354,5129.161735517973,3.05,-0.071,-0.0652,1,1,1,0,0,0,0,0
263,490125.4526268712,73.0,5131.682317494977,156.045,-2.365,1,-0.0171,-0.1446,0,490124.0709542837,73.4855289674677,5129.096492758987,2.972,-0.071,-0.0652,0,1,0,0,1,0,1,0
264,490125.5328271144,73.0,5131.563528840122,150.185,1.131,1,0.0802,-0.1188,0,490124.0473028558,73.3236859783118,5129.1059951726575,2.89,-0.0237,0.0095,10,0,0,0,1,0,0,0
265,490125.5838452971,73.0,5131.471910859601,147.512,2.365,1,0.051,-0.0916,0,490123.9377852372,73.3303739855412,5128.924830115105,3.051,-0.1095,-0.1812,9,1,0,0,1,0,1,1
266,490125.61769140174,73.0,5131.394823850608,142.885,2.879,1,0.0338,-0.0771,0,490123.81269015814,73.42858265702746,5128.71030341007,3.263,-0.1251,-0.2145,8,1,0,0,1,0,0,1
267,490125.65386444586,73.0,5131.223944019844,142.269,1.748,1,0.0362,-0.1709,0,490123.68759507907,73.52679132851372,5128.495776705035,3.404,-0.1251,-0.2145,7,1,0,0,1,0,1,0
268,490125.6899240761,73.0,5131.001670733416,140.521,0.206,1,0.0361,-0.2223,0,490123.56256338605,73.66369421900914,5128.278434470023,3.519,-0.125,-0.2173,6,1,0,0,1,0,0,0
269,490125.7219578909,73.0,5130.750897032683,140.418,-2.467,1,0.032,-0.2508,0,490123.437531693,73.80059710950457,5128.0610922350115,3.619,-0.125,-0.2173,5,1,0,0,1,0,1,0
270,490125.7515950746,73.0,5130.484543328467,139.904,-4.421,1,0.0296,-0.2664,0,490123.35418779537,73.84623140633637,5127.894894823341,3.629,-0.0833,-0.1662,4,1,0,0,1,0,0,0
